ID,Name,First Name,Last Name,TM,LG,B,B_1,POW,POW P,HistID
19607,Jake Rogers,Jake,Rogers,Detroit,Major League Baseball,Right,R,45,55,rogerja03
19744,Jakob Marsee,Jakob,Marsee,Miami,Major League Baseball,Left,L,40,40,marseja01
19275,James McCann,James,McCann,Arizona,Major League Baseball,Right,R,55,55,mccanja02
20014,James Outman,James,Outman,Los Angeles,Major League Baseball,Left,L,55,55,outmaja01
19784,James Wood,James,Wood,Washington,Major League Baseball,Left,L,60,60,woodja03
19983,Jared Triolo,Jared,Triolo,Pittsburgh,Major League Baseball,Right,R,40,40,triolja01
20135,Jared Young,Jared,Young,New York,Major League Baseball,Left,L,50,55,youngja02
20167,Jarred Kelenic,Jarred,Kelenic,Atlanta,Major League Baseball,Left,L,50,50,kelenja01
19378,Jarren Duran,Jarren,Duran,Boston,Major League Baseball,Left,L,45,45,duranja01
19285,Jason Heyward,Jason,Heyward,San Diego,Major League Baseball,Left,L,50,50,heywaja01
20586,Jasson Dominguez,Jasson,Dominguez,New York,Major League Baseball,Switch,S,45,50,dominja01
20767,Javier Baez,Javier,Baez,Detroit,Major League Baseball,Right,R,45,45,baezja01
20396,Javier Sanoja,Javier,Sanoja,Miami,Major League Baseball,Right,R,40,40,sanojja01
20369,Jazz Chisholm Jr.,Jazz,Chisholm Jr.,New York,Major League Baseball,Left,L,65,65,chishja01
20375,Jeff McNeil,Jeff,McNeil,New York,Major League Baseball,Left,L,50,50,mcneije01
20883,Jeimer Candelario,Jeimer,Candelario,Cincinnati,Major League Baseball,Switch,S,55,55,candeje01
19728,Jerar Encarnacion,Jerar,Encarnacion,San Francisco,Major League Baseball,Right,R,55,55,encarje01
19448,Jeremiah Jackson,Jeremiah,Jackson,Baltimore,Major League Baseball,Right,R,45,45,jacksje02
20915,Jeremy Pena,Jeremy,Pena,Houston,Major League Baseball,Right,R,45,45,penaje02
18483,Jesse Winker,Jesse,Winker,New York,Major League Baseball,Left,L,45,45,winkeje01
19686,Jesus Sanchez,Jesus,Sanchez,Miami,Major League Baseball,Left,L,50,55,sanchje02
20306,Jhonkensy Noel,Jhonkensy,Noel,Cleveland,Major League Baseball,Right,R,65,65,noeljh01
20760,Jhonny Pereda,Jhonny,Pereda,Athletics,Major League Baseball,Right,R,30,35,peredjh01
20724,Jhostynxon Garcia,Jhostynxon,Garcia,Boston,Major League Baseball,Right,R,40,40,garcijh01
20129,Ji-hwan Bae,Ji-hwan,Bae,Pittsburgh,Major League Baseball,Left,L,35,35,baeji01
19729,Jimmy Crooks,Jimmy,Crooks,St. Louis,Major League Baseball,Left,L,45,45,crookji01
20833,JJ Bleday,JJ,Bleday,Athletics,Major League Baseball,Left,L,55,55,bledajj01
20408,Jo Adell,Jo,Adell,Los Angeles,Major League Baseball,Right,R,70,70,adelljo01
19782,Joc Pederson,Joc,Pederson,Texas,Major League Baseball,Left,L,60,60,pederjo01
19702,Joey Bart,Joey,Bart,Pittsburgh,Major League Baseball,Right,R,45,45,bartjo01
20259,Joey Loperfido,Joey,Loperfido,Toronto,Major League Baseball,Left,L,45,45,loperjo01
20874,Joey Ortiz,Joey,Ortiz,Milwaukee,Major League Baseball,Right,R,40,40,ortizjo06
19963,Joey Wiemer,Joey,Wiemer,Miami,Major League Baseball,Right,R,55,55,wiemejo01
21025,Johan Rojas,Johan,Rojas,Philadelphia,Major League Baseball,Right,R,25,30,rojasjo03
20529,John Rave,John,Rave,Kansas City,Major League Baseball,Left,L,45,45,ravejo01
20991,Johnathan Rodriguez,Johnathan,Rodriguez,Cleveland,Major League Baseball,Right,R,45,45,rodrijo10
18494,Jon Berti,Jon,Berti,Chicago,Major League Baseball,Right,R,25,25,bertijo01
19159,Jon Singleton,Jon,Singleton,Houston,Major League Baseball,Left,L,50,50,singljo02
18501,Jonah Bride,Jonah,Bride,Miami,Major League Baseball,Right,R,40,40,bridejo01
19385,Jonah Heim,Jonah,Heim,Texas,Major League Baseball,Switch,S,45,55,heimjo01
20706,Jonatan Clase,Jonatan,Clase,Toronto,Major League Baseball,Switch,S,40,40,clasejo01
20997,Jonathan Aranda,Jonathan,Aranda,Tampa Bay,Major League Baseball,Left,L,55,55,arandjo01
19569,Jonathan India,Jonathan,India,Kansas City,Major League Baseball,Right,R,40,50,indiajo01
20509,Jonathan Ornelas,Jonathan,Ornelas,Texas,Major League Baseball,Right,R,40,40,orneljo01
19783,Jonny DeLuca,Jonny,DeLuca,Tampa Bay,Major League Baseball,Right,R,35,40,delucjo01
20768,Jorbit Vivas,Jorbit,Vivas,New York,Major League Baseball,Left,L,40,45,vivasjo01
19539,Jordan Beck,Jordan,Beck,Colorado,Major League Baseball,Right,R,45,45,beckjo01
20349,Jordan Lawlar,Jordan,Lawlar,Arizona,Major League Baseball,Right,R,30,35,lawlajo01
19710,Jordan Walker,Jordan,Walker,St. Louis,Major League Baseball,Right,R,40,45,walkejo02
19312,Jordan Westburg,Jordan,Westburg,Baltimore,Major League Baseball,Right,R,60,60,westbjo01
20045,Jordyn Adams,Jordyn,Adams,Baltimore,Major League Baseball,Right,R,40,40,adamsjo03
19849,Jorge Alfaro,Jorge,Alfaro,Washington,Major League Baseball,Right,R,40,40,alfarjo01
19981,Jorge Barrosa,Jorge,Barrosa,Arizona,Major League Baseball,Switch,S,40,40,barrojo01
19280,Jorge Mateo,Jorge,Mateo,Baltimore,Major League Baseball,Right,R,40,45,mateojo01
20670,Jorge Polanco,Jorge,Polanco,Seattle,Major League Baseball,Switch,S,60,60,polanjo01
20250,Jorge Soler,Jorge,Soler,Los Angeles,Major League Baseball,Right,R,55,55,solerjo01
20435,Jose Altuve,Jose,Altuve,Houston,Major League Baseball,Right,R,55,55,altuvjo01
18516,Jose Azocar,Jose,Azocar,New York,Major League Baseball,Right,R,35,35,azocajo01
19792,Jose Barrero,Jose,Barrero,St. Louis,Major League Baseball,Right,R,45,45,garcijo02
19770,Jose Caballero,Jose,Caballero,Tampa Bay,Major League Baseball,Right,R,40,40,cabaljo01
19968,Jose Fermin,Jose,Fermin,St. Louis,Major League Baseball,Right,R,35,35,fermijo01
18522,Jose Herrera,Jose,Herrera,Arizona,Major League Baseball,Switch,S,30,30,herrejo04
18526,Jose Iglesias,Jose,Iglesias,San Diego,Major League Baseball,Right,R,30,30,iglesjo01
19472,Jose Ramirez,Jose,Ramirez,Cleveland,Major League Baseball,Switch,S,65,65,ramirjo01
19213,Jose Siri,Jose,Siri,New York,Major League Baseball,Right,R,55,60,sirijo01
20030,Jose Tena,Jose,Tena,Washington,Major League Baseball,Left,L,25,30,tenajo01
19370,Jose Trevino,Jose,Trevino,Cincinnati,Major League Baseball,Right,R,40,40,trevijo01
20533,Josh Bell,Josh,Bell,Washington,Major League Baseball,Switch,S,55,55,belljo02
19705,Josh Jung,Josh,Jung,Texas,Major League Baseball,Right,R,45,55,jungjo01
19571,Josh Lowe,Josh,Lowe,Tampa Bay,Major League Baseball,Left,L,45,50,lowejo01
20635,Josh Naylor,Josh,Naylor,Arizona,Major League Baseball,Left,L,60,60,naylojo01
18545,Josh Palacios,Josh,Palacios,Chicago,Major League Baseball,Left,L,40,45,palacjo01
18537,Josh Rojas,Josh,Rojas,Chicago,Major League Baseball,Left,L,35,35,rojasjo01
19826,Josh Smith,Josh,Smith,Texas,Major League Baseball,Left,L,40,40,smithjo11
19955,José Miranda,José,Miranda,Minnesota,Major League Baseball,Right,R,40,45,miranjo01
19636,Juan Soto,Juan,Soto,New York,Major League Baseball,Left,L,80,80,sotoju01
19897,Julio Rodriguez,Julio,Rodriguez,Seattle,Major League Baseball,Right,R,60,60,rodriju01
19585,Jung-hoo Lee,Jung-hoo,Lee,San Francisco,Major League Baseball,Left,L,35,35,leeju01
20992,Junior Caminero,Junior,Caminero,Tampa Bay,Major League Baseball,Right,R,75,75,caminju01
19310,Jurickson Profar,Jurickson,Profar,Atlanta,Major League Baseball,Switch,S,60,60,profaju01
20463,Justin Dean,Justin,Dean,Los Angeles,Major League Baseball,Right,R,40,40,deanju01
20684,Justin Foscue,Justin,Foscue,Texas,Major League Baseball,Right,R,40,40,foscuju01
18553,Justin Turner,Justin,Turner,Chicago,Major League Baseball,Right,R,40,40,turneju01
20578,Justyn-Henry Malloy,Justyn-Henry,Malloy,Detroit,Major League Baseball,Right,R,40,45,malloju02
20518,Kameron Misner,Kameron,Misner,Tampa Bay,Major League Baseball,Left,L,40,40,misneka01
20487,Ke'Bryan Hayes,Ke'Bryan,Hayes,Pittsburgh,Major League Baseball,Right,R,30,40,hayeske01
19730,Keibert Ruiz,Keibert,Ruiz,Washington,Major League Baseball,Switch,S,40,45,ruizke01
20553,Kenedy Corona,Kenedy,Corona,Houston,Major League Baseball,Right,R,40,40,coronke01
19508,Kerry Carpenter,Kerry,Carpenter,Detroit,Major League Baseball,Left,L,70,70,carpeke01
20253,Keston Hiura,Keston,Hiura,Colorado,Major League Baseball,Right,R,40,60,hiurake01
20627,Ketel Marte,Ketel,Marte,Arizona,Major League Baseball,Switch,S,70,70,marteke01
20861,Kevin Alcantara,Kevin,Alcantara,Chicago,Major League Baseball,Right,R,35,40,alcanke01
18578,Kevin Newman,Kevin,Newman,Los Angeles,Major League Baseball,Right,R,35,35,newmake01
18936,Kevin Pillar,Kevin,Pillar,Texas,Major League Baseball,Right,R,40,40,pillake01
20002,Kody Clemens,Kody,Clemens,Philadelphia,Major League Baseball,Left,L,60,60,clemeko01
21005,Korey Lee,Korey,Lee,Chicago,Major League Baseball,Right,R,50,50,leeko01
19016,Kris Bryant,Kris,Bryant,Colorado,Major League Baseball,Right,R,30,30,bryankr01
20650,Kristian Campbell,Kristian,Campbell,Boston,Major League Baseball,Right,R,45,45,campbkr01
20857,Kyle Farmer,Kyle,Farmer,Colorado,Major League Baseball,Right,R,45,45,farmeky01
19700,Kyle Higashioka,Kyle,Higashioka,Texas,Major League Baseball,Right,R,60,60,higasky01
19580,Kyle Isbel,Kyle,Isbel,Kansas City,Major League Baseball,Left,L,35,35,isbelky01
19421,Kyle Karros,Kyle,Karros,Colorado,Major League Baseball,Right,R,30,35,karroky01
20335,Kyle Manzardo,Kyle,Manzardo,Cleveland,Major League Baseball,Left,L,60,65,manzaky01
20939,Kyle Schwarber,Kyle,Schwarber,Philadelphia,Major League Baseball,Left,L,80,80,schwaky01
20741,Kyle Stowers,Kyle,Stowers,Miami,Major League Baseball,Left,L,60,60,stoweky01
20855,Kyle Teel,Kyle,Teel,Chicago,Major League Baseball,Left,L,50,50,teelky01
20542,Kyle Tucker,Kyle,Tucker,Chicago,Major League Baseball,Left,L,65,65,tuckeky01
20716,Kyren Paris,Kyren,Paris,Los Angeles,Major League Baseball,Right,R,55,55,parisky01
20736,LaMonte Wade Jr.,LaMonte,Wade Jr.,San Francisco,Major League Baseball,Left,L,35,35,wadela01
19487,Lane Thomas,Lane,Thomas,Cleveland,Major League Baseball,Right,R,50,55,thomala02
20896,Lars Nootbaar,Lars,Nootbaar,St. Louis,Major League Baseball,Left,L,45,45,nootbla01
19587,Lawrence Butler,Lawrence,Butler,Athletics,Major League Baseball,Left,L,55,55,butlela01
19521,Lenyn Sosa,Lenyn,Sosa,Chicago,Major League Baseball,Right,R,55,55,sosale01
21019,Leo Jimenez,Leo,Jimenez,Toronto,Major League Baseball,Right,R,45,45,jimenle01
20374,Leo Rivas,Leo,Rivas,Seattle,Major League Baseball,Switch,S,35,40,rivasle01
19470,Leody Taveras,Leody,Taveras,Texas,Major League Baseball,Switch,S,40,40,taverle01
19719,Liam Hicks,Liam,Hicks,Miami,Major League Baseball,Left,L,40,40,hicksli01
19935,Liover Peguero,Liover,Peguero,Pittsburgh,Major League Baseball,Right,R,55,55,pegueli01
20481,Logan Davidson,Logan,Davidson,Athletics,Major League Baseball,Switch,S,45,45,davidlo01
19581,Logan O'Hoppe,Logan,O'Hoppe,Los Angeles,Major League Baseball,Right,R,55,55,ohopplo01
18594,Logan Porter,Logan,Porter,San Francisco,Major League Baseball,Right,R,40,40,portelo01
19915,Lourdes Gurriel Jr.,Lourdes,Gurriel Jr.,Arizona,Major League Baseball,Right,R,55,55,gurrilo01
20411,Luis Arraez,Luis,Arraez,San Diego,Major League Baseball,Left,L,30,35,arraelu01
20052,Luis Campusano,Luis,Campusano,San Diego,Major League Baseball,Right,R,45,50,campulu01
19745,Luis Garcia Jr.,Luis,Garcia Jr.,Washington,Major League Baseball,Left,L,50,50,garcilu04
19891,Luis Guillorme,Luis,Guillorme,Houston,Major League Baseball,Left,L,20,20,guilllu01
20873,Luis Matos,Luis,Matos,San Francisco,Major League Baseball,Right,R,60,60,matoslu02
19566,Luis Rengifo,Luis,Rengifo,Los Angeles,Major League Baseball,Switch,S,40,50,rengilu01
19619,Luis Robert Jr.,Luis,Robert Jr.,Chicago,Major League Baseball,Right,R,55,65,roberlu01
19654,Luis Torrens,Luis,Torrens,New York,Major League Baseball,Right,R,35,40,torrelu01
20735,Luis Urias,Luis,Urias,Athletics,Major League Baseball,Right,R,45,55,uriaslu01
20299,Luis Vazquez,Luis,Vazquez,Baltimore,Major League Baseball,Right,R,40,45,vazqulu01
20029,Luisangel Acuna,Luisangel,Acuna,New York,Major League Baseball,Right,R,30,35,acunajo01
19665,Luke Keaschall,Luke,Keaschall,Minnesota,Major League Baseball,Right,R,40,40,keasclu01
20961,Luke Maile,Luke,Maile,Kansas City,Major League Baseball,Right,R,40,40,mailelu01
19841,Luke Raley,Luke,Raley,Seattle,Major League Baseball,Left,L,55,55,raleylu01
18610,Luke Williams,Luke,Williams,Atlanta,Major League Baseball,Right,R,20,25,willilu01
20087,Luken Baker,Luken,Baker,St. Louis,Major League Baseball,Right,R,40,45,bakerlu01
20420,Maikel Garcia,Maikel,Garcia,Kansas City,Major League Baseball,Right,R,40,40,garcima01
20573,Manny Machado,Manny,Machado,San Diego,Major League Baseball,Right,R,55,55,machama01
18625,Manuel Margot,Manuel,Margot,Detroit,Major League Baseball,Right,R,30,30,margoma01
19890,Marcell Ozuna,Marcell,Ozuna,Atlanta,Major League Baseball,Right,R,65,65,ozunama01
20308,Marcelo Mayer,Marcelo,Mayer,Boston,Major League Baseball,Left,L,50,50,mayerma01
20510,Marcus Semien,Marcus,Semien,Texas,Major League Baseball,Right,R,50,50,semiema01
19300,Mark Canha,Mark,Canha,Kansas City,Major League Baseball,Right,R,35,35,canhama01
19670,Mark Vientos,Mark,Vientos,New York,Major League Baseball,Right,R,60,65,vientma01
19044,Martin Maldonado,Martin,Maldonado,San Diego,Major League Baseball,Right,R,45,45,maldoma01
19471,Masataka Yoshida,Masataka,Yoshida,Boston,Major League Baseball,Left,L,40,40,yoshima02
20734,Mason McCoy,Mason,McCoy,San Diego,Major League Baseball,Right,R,35,40,mccoyma01
19721,Masyn Winn,Masyn,Winn,St. Louis,Major League Baseball,Right,R,40,40,winnma01
19723,Matt Chapman,Matt,Chapman,San Francisco,Major League Baseball,Right,R,60,60,chapmma01
20591,Matt Gorski,Matt,Gorski,Pittsburgh,Major League Baseball,Right,R,55,55,gorskma01
19191,Matt McLain,Matt,McLain,Cincinnati,Major League Baseball,Right,R,45,50,mclaima01
18459,Matt Mervis,Matt,Mervis,Miami,Major League Baseball,Left,L,65,65,mervima01
19293,Matt Olson,Matt,Olson,Atlanta,Major League Baseball,Left,L,60,60,olsonma02
20245,Matt Shaw,Matt,Shaw,Chicago,Major League Baseball,Right,R,50,50,shawma01
19742,Matt Thaiss,Matt,Thaiss,Chicago,Major League Baseball,Left,L,30,45,thaisma01
19659,Matt Vierling,Matt,Vierling,Detroit,Major League Baseball,Right,R,45,45,vierlma01
19507,Matt Wallner,Matt,Wallner,Minnesota,Major League Baseball,Left,L,70,70,wallnma01
20452,Matthew Lugo,Matthew,Lugo,Los Angeles,Major League Baseball,Right,R,60,60,lugoma01
19366,Mauricio Dubon,Mauricio,Dubon,Houston,Major League Baseball,Right,R,35,35,dubonma01
20264,Maverick Handley,Maverick,Handley,Baltimore,Major League Baseball,Right,R,40,40,handlma01
19094,Max Kepler,Max,Kepler,Philadelphia,Major League Baseball,Left,L,50,50,keplema01
20501,Max Muncy,Max,Muncy,Los Angeles,Major League Baseball,Left,L,70,70,muncyma01
20064,Max Muncy,Max,Muncy,Athletics,Major League Baseball,Right,R,55,55,muncyma02
20764,Max Schuemann,Max,Schuemann,Athletics,Major League Baseball,Right,R,35,35,schuema01
21017,Maximo Acosta,Maximo,Acosta,Miami,Major League Baseball,Right,R,55,55,acostma02
19489,Michael Busch,Michael,Busch,Chicago,Major League Baseball,Left,L,70,70,buschmi02
21010,Michael Conforto,Michael,Conforto,Los Angeles,Major League Baseball,Left,L,50,50,confomi01
19380,Michael Harris II,Michael,Harris II,Atlanta,Major League Baseball,Left,L,50,50,harrimi04
20884,Michael Helman,Michael,Helman,Texas,Major League Baseball,Right,R,60,60,helmami01
20931,Michael Massey,Michael,Massey,Kansas City,Major League Baseball,Left,L,40,50,massemi02
20788,Michael Siani,Michael,Siani,St. Louis,Major League Baseball,Left,L,25,25,sianimi01
18476,Michael Stefanic,Michael,Stefanic,Toronto,Major League Baseball,Right,R,30,30,stefami01
20233,Michael Toglia,Michael,Toglia,Colorado,Major League Baseball,Switch,S,60,60,toglimi01
19155,Michael A. Taylor,Michael A.,Taylor,Chicago,Major League Baseball,Right,R,45,45,taylomi02
20784,Mickey Gasper,Mickey,Gasper,Minnesota,Major League Baseball,Switch,S,40,40,gaspemi01
19980,Mickey Moniak,Mickey,Moniak,Colorado,Major League Baseball,Left,L,60,60,moniami01
20444,Miguel Amaya,Miguel,Amaya,Chicago,Major League Baseball,Right,R,45,50,amayami01
20601,Miguel Andújar,Miguel,Andújar,Athletics,Major League Baseball,Right,R,45,45,andujmi01
19616,Miguel Rojas,Miguel,Rojas,Los Angeles,Major League Baseball,Right,R,40,40,rojasmi02
19558,Miguel Vargas,Miguel,Vargas,Chicago,Major League Baseball,Right,R,50,50,vargami01
20727,Mike Tauchman,Mike,Tauchman,Chicago,Major League Baseball,Left,L,45,45,tauchmi01
19623,Mike Trout,Mike,Trout,Los Angeles,Major League Baseball,Right,R,65,65,troutmi01
20648,Mike Yastrzemski,Mike,Yastrzemski,San Francisco,Major League Baseball,Left,L,55,55,yastrmi01
20990,Miles Mastrobuoni,Miles,Mastrobuoni,Seattle,Major League Baseball,Left,L,25,25,mastrmi01
21032,Mitch Garver,Mitch,Garver,Seattle,Major League Baseball,Right,R,55,55,garvemi01
20664,MJ Melendez,MJ,Melendez,Kansas City,Major League Baseball,Left,L,50,55,melenmj01
20042,Moises Ballesteros,Moises,Ballesteros,Chicago,Major League Baseball,Left,L,50,50,ballemo01
19476,Mookie Betts,Mookie,Betts,Los Angeles,Major League Baseball,Right,R,50,50,bettsmo01
19706,Myles Straw,Myles,Straw,Toronto,Major League Baseball,Right,R,35,35,strawmy01
20248,Nacho Alvarez Jr.,Nacho,Alvarez Jr.,Atlanta,Major League Baseball,Right,R,30,30,alvarna01
20195,Nasim Nunez,Nasim,Nunez,Washington,Major League Baseball,Switch,S,50,50,nunezna01
20769,Nate Eaton,Nate,Eaton,Boston,Major League Baseball,Right,R,40,40,eatonna01
19249,Nathan Church,Nathan,Church,St. Louis,Major League Baseball,Left,L,40,45,churcna01
20441,Nathan Lukes,Nathan,Lukes,Toronto,Major League Baseball,Left,L,45,45,lukesna01
20752,Nathaniel Lowe,Nathaniel,Lowe,Washington,Major League Baseball,Left,L,50,55,lowena01
19036,Nick Ahmed,Nick,Ahmed,Texas,Major League Baseball,Right,R,30,30,ahmedni01
19412,Nick Allen,Nick,Allen,Atlanta,Major League Baseball,Right,R,20,25,allenni02
20287,Nick Castellanos,Nick,Castellanos,Philadelphia,Major League Baseball,Right,R,50,50,casteni01
19801,Nick Fortes,Nick,Fortes,Miami,Major League Baseball,Right,R,40,45,forteni01
19781,Nick Gonzales,Nick,Gonzales,Pittsburgh,Major League Baseball,Right,R,35,35,gonzani01
19611,Nick Kurtz,Nick,Kurtz,Athletics,Major League Baseball,Left,L,80,80,kurtzni01
19422,Nick Loftin,Nick,Loftin,Kansas City,Major League Baseball,Right,R,40,40,loftini01
18520,Nick Martini,Nick,Martini,Colorado,Major League Baseball,Left,L,40,40,martini02
18536,Nick Maton,Nick,Maton,Chicago,Major League Baseball,Left,L,50,50,matonni01
20545,Nick Sogard,Nick,Sogard,Boston,Major League Baseball,Switch,S,20,30,sogarni01
18570,Nick Solak,Nick,Solak,Pittsburgh,Major League Baseball,Right,R,40,40,solakni01
20003,Nick Yorke,Nick,Yorke,Pittsburgh,Major League Baseball,Right,R,40,45,yorkeni01
18573,Nicky Lopez,Nicky,Lopez,Los Angeles,Major League Baseball,Left,L,20,20,lopezni01
19522,Nico Hoerner,Nico,Hoerner,Chicago,Major League Baseball,Right,R,30,35,hoernni01
20449,Niko Kavadas,Niko,Kavadas,Los Angeles,Major League Baseball,Left,L,45,50,kavadni01
20482,Noelvi Marte,Noelvi,Marte,Cincinnati,Major League Baseball,Right,R,50,50,marteno01
20808,Nolan Arenado,Nolan,Arenado,St. Louis,Major League Baseball,Right,R,45,45,arenano01
19599,Nolan Gorman,Nolan,Gorman,St. Louis,Major League Baseball,Left,L,60,65,gormano01
20618,Nolan Jones,Nolan,Jones,Cleveland,Major League Baseball,Left,L,35,50,jonesno01
19601,Nolan Schanuel,Nolan,Schanuel,Los Angeles,Major League Baseball,Left,L,40,40,schanno01
20157,Oliver Dunn,Oliver,Dunn,Milwaukee,Major League Baseball,Left,L,35,35,dunnol01
18585,Omar Narvaez,Omar,Narvaez,Chicago,Major League Baseball,Left,L,40,40,narvaom01
19761,Oneil Cruz,Oneil,Cruz,Pittsburgh,Major League Baseball,Left,L,55,55,cruzon01
18593,Orlando Arcia,Orlando,Arcia,Atlanta,Major League Baseball,Right,R,40,40,arciaor01
19289,Oscar Gonzalez,Oscar,Gonzalez,San Diego,Major League Baseball,Right,R,35,40,gonzaos01
21050,Oswald Peraza,Oswald,Peraza,New York,Major League Baseball,Right,R,40,40,perazos02
20739,Oswaldo Cabrera,Oswaldo,Cabrera,New York,Major League Baseball,Switch,S,40,40,cabreos01
19925,Otto Kemp,Otto,Kemp,Philadelphia,Major League Baseball,Right,R,55,55,kempot01
19734,Otto Lopez,Otto,Lopez,Miami,Major League Baseball,Right,R,40,40,lopezot01
20085,Owen Caissie,Owen,Caissie,Chicago,Major League Baseball,Left,L,50,50,caissow01
18609,Owen Miller,Owen,Miller,Colorado,Major League Baseball,Right,R,40,40,milleow01
19346,Ozzie Albies,Ozzie,Albies,Atlanta,Major League Baseball,Switch,S,45,60,albieoz01
18617,Pablo Reyes,Pablo,Reyes,New York,Major League Baseball,Right,R,35,35,reyespa01
19583,Parker Meadows,Parker,Meadows,Detroit,Major League Baseball,Left,L,45,45,meadopa01
19713,Patrick Bailey,Patrick,Bailey,San Francisco,Major League Baseball,Switch,S,40,40,bailepa01
19753,Paul DeJong,Paul,DeJong,Washington,Major League Baseball,Right,R,55,55,dejonpa01
19485,Paul Goldschmidt,Paul,Goldschmidt,New York,Major League Baseball,Right,R,45,45,goldspa01
20290,Pavin Smith,Pavin,Smith,Arizona,Major League Baseball,Left,L,55,55,smithpa04
20116,Pedro Pages,Pedro,Pages,St. Louis,Major League Baseball,Right,R,50,50,pagespe02
20513,Pete Alonso,Pete,Alonso,New York,Major League Baseball,Right,R,65,65,alonspe01
20935,Pete Crow-Armstrong,Pete,Crow-Armstrong,Chicago,Major League Baseball,Left,L,60,60,crowape01
20624,Petey Halpin,Petey,Halpin,Cleveland,Major League Baseball,Left,L,40,40,halpipe01
20785,Rafael Devers,Rafael,Devers,Boston,Major League Baseball,Left,L,65,65,deverra01
20666,Rafael Flores Jr.,Rafael,Flores Jr.,Pittsburgh,Major League Baseball,Right,R,35,40,florera03
19598,Rafael Marchan,Rafael,Marchan,Philadelphia,Major League Baseball,Switch,S,45,50,marchra01
19640,Ramon Laureano,Ramon,Laureano,Baltimore,Major League Baseball,Right,R,60,60,laurera01
20310,Ramon Urias,Ramon,Urias,Baltimore,Major League Baseball,Right,R,50,50,uriasra01
20778,Randal Grichuk,Randal,Grichuk,Arizona,Major League Baseball,Right,R,55,55,grichra01
19777,Randy Arozarena,Randy,Arozarena,Seattle,Major League Baseball,Right,R,55,55,arozara01
20840,Rece Hinds,Rece,Hinds,Cincinnati,Major League Baseball,Right,R,65,65,hindsre01
20780,Reese McGuire,Reese,McGuire,Chicago,Major League Baseball,Left,L,65,65,mcguire01
20738,Rhylan Thomas,Rhylan,Thomas,Seattle,Major League Baseball,Left,L,40,40,thomarh01
21026,Rhys Hoskins,Rhys,Hoskins,Milwaukee,Major League Baseball,Right,R,60,60,hoskirh01
20858,Richie Palacios,Richie,Palacios,Tampa Bay,Major League Baseball,Left,L,40,40,palacri01
18662,Riley Adams,Riley,Adams,Washington,Major League Baseball,Right,R,45,45,adamsri03
19548,Riley Greene,Riley,Greene,Detroit,Major League Baseball,Left,L,65,65,greenri03
18477,Rob Brantly,Rob,Brantly,Miami,Major League Baseball,Left,L,40,40,brantro01
19880,Rob Refsnyder,Rob,Refsnyder,Boston,Major League Baseball,Right,R,60,60,refsnro01
20823,Robert Hassell III,Robert,Hassell III,Washington,Major League Baseball,Left,L,35,40,hassero02
20254,Roman Anthony,Roman,Anthony,Boston,Major League Baseball,Left,L,50,50,anthoro01
20468,Romy Gonzalez,Romy,Gonzalez,Boston,Major League Baseball,Right,R,45,45,gonzaro01
20429,Ronald Acuna Jr.,Ronald,Acuna Jr.,Atlanta,Major League Baseball,Right,R,65,70,acunaro01
20572,Ronny Mauricio,Ronny,Mauricio,New York,Major League Baseball,Switch,S,50,50,mauriro01
20027,Ronny Simon,Ronny,Simon,Miami,Major League Baseball,Switch,S,30,40,simonro01
20783,Rowdy Tellez,Rowdy,Tellez,Seattle,Major League Baseball,Left,L,60,65,tellero01
20493,Royce Lewis,Royce,Lewis,Minnesota,Major League Baseball,Right,R,55,60,lewisro02
19638,Ryan Bliss,Ryan,Bliss,Seattle,Major League Baseball,Right,R,45,45,blissry01
20190,Ryan Fitzgerald,Ryan,Fitzgerald,Minnesota,Major League Baseball,Left,L,65,65,fitzgry01
19661,Ryan Jeffers,Ryan,Jeffers,Minnesota,Major League Baseball,Right,R,50,55,jeffery01
20898,Ryan Kreidler,Ryan,Kreidler,Detroit,Major League Baseball,Right,R,35,40,kreidry01
20502,Ryan McMahon,Ryan,McMahon,Colorado,Major League Baseball,Left,L,55,55,mcmahry01
20212,Ryan Mountcastle,Ryan,Mountcastle,Baltimore,Major League Baseball,Right,R,40,60,mountry01
20291,Ryan Noda,Ryan,Noda,Chicago,Major League Baseball,Left,L,40,50,nodary01
19876,Ryan O'Hearn,Ryan,O'Hearn,Baltimore,Major League Baseball,Left,L,50,50,ohearry01
19478,Ryan Ritter,Ryan,Ritter,Colorado,Major League Baseball,Right,R,25,35,rittery01
19942,Ryan Vilade,Ryan,Vilade,St. Louis,Major League Baseball,Right,R,40,45,viladry01
19538,Sal Frelick,Sal,Frelick,Milwaukee,Major League Baseball,Left,L,35,35,frelisa01
18664,Sal Stewart,Sal,Stewart,Cincinnati,Major League Baseball,Right,R,70,70,stewasa02
20443,Salvador Perez,Salvador,Perez,Kansas City,Major League Baseball,Right,R,60,60,perezsa02
19692,Sam Haggerty,Sam,Haggerty,Texas,Major League Baseball,Switch,S,30,30,haggesa01
20633,Sam Hilliard,Sam,Hilliard,Colorado,Major League Baseball,Left,L,65,65,hillisa01
19804,Sam Huff,Sam,Huff,San Francisco,Major League Baseball,Right,R,50,60,huffsa01
19943,Samad Taylor,Samad,Taylor,Seattle,Major League Baseball,Right,R,40,40,taylosa04
19400,Samuel Basallo,Samuel,Basallo,Baltimore,Major League Baseball,Left,L,55,55,basalsa01
